instruction,context,response
Which members took the oath in Bengali?,"Members who took the oath in Bengali include Shri Jagadish Chandra Barma Basunia from Coochbehar, Shri Manoj Tigga from Alipurduars, and Shri Raju Bista from Darjeeling.","Members who took the oath in Bengali include Shri Jagadish Chandra Barma Basunia, Shri Manoj Tigga, and Shri Raju Bista."
Who took the oath in Sanskrit?,Shri Pratap Chandra Sarangi from Balasore and Shri Swami Sachchidanand Hari Sakshi from Unnao took the oath in Sanskrit.,Shri Pratap Chandra Sarangi and Shri Swami Sachchidanand Hari Sakshi took the oath in Sanskrit.
Who took the oath in Telugu from Andhra Pradesh?,Shri Y.S. Avinash Reddy from Kadapa took the oath in Telugu.,Shri Y.S. Avinash Reddy took the oath in Telugu.
"Who was absent for the oath-taking on June 25, 2024?","Members such as Shri Sk Nurul Islam, Shri Adhikari Deepak (Dev), and Shri Shatrughan Prasad Sinha were not present for the oath-taking.","Shri Sk Nurul Islam, Shri Adhikari Deepak (Dev), and Shri Shatrughan Prasad Sinha were absent for the oath-taking."
Which member from Meghalaya took the oath in English?,Dr. Ricky Andrew J. Syngkon from Shillong and Shri Saleng A. Sangma from Tura took the oath in English.,Dr. Ricky Andrew J. Syngkon and Shri Saleng A. Sangma took the oath in English.
Who is the member representing Raebareli in the Eighteenth Lok Sabha?,Shri Rahul Gandhi represents Raebareli in the Eighteenth Lok Sabha.,Shri Rahul Gandhi represents Raebareli.
Who is the Speaker Pro Tem in the Eighteenth Lok Sabha?,Shri Bhartruhari Mahtab served as the Speaker Pro Tem for the commencement of the Eighteenth Lok Sabha.,Shri Bhartruhari Mahtab is the Speaker Pro Tem.
Which member from Tripura took the oath in English?,Shri Biplab Kumar Deb from Tripura West and Shrimati Kirti Devi Debbarman from Tripura East took the oath in English.,Shri Biplab Kumar Deb and Shrimati Kirti Devi Debbarman took the oath in English.
Who represented Kanyakumari and took the oath in Tamil?,Shri Vijayakumar alias Vijay Vasanth from Kanyakumari took the oath in Tamil.,Shri Vijayakumar alias Vijay Vasanth represents Kanyakumari and took the oath in Tamil.
Which member took the oath in Santhali?,Shri Naba Charan Majhi from Mayurbhanj took the oath in Santhali.,Shri Naba Charan Majhi took the oath in Santhali.
Who represented the constituency of Hyderabad and in which language was the oath taken?,"Shri Asaduddin Owaisi, representing Hyderabad, took the oath in Urdu.",Shri Asaduddin Owaisi represents Hyderabad and took the oath in Urdu.
Which members took the oath in Punjabi?,"Members such as Shri Sukhjinder Singh Randhawa from Gurdaspur, Shri Gurjeet Singh Aujla from Amritsar, and Shri Charanjit Singh Channi from Jalandhar took the oath in Punjabi.","Shri Sukhjinder Singh Randhawa, Shri Gurjeet Singh Aujla, and Shri Charanjit Singh Channi took the oath in Punjabi."
Who represented Thiruvallur and took the oath in Tamil?,Shri Sasikanth Senthil from Thiruvallur took the oath in Tamil.,Shri Sasikanth Senthil represents Thiruvallur and took the oath in Tamil.
Who took the oath in Maithili and represents Purnia?,"Shri Rajesh Ranjan, also known as Pappu Yadav, from Purnia took the oath in Maithili.",Shri Rajesh Ranjan (Pappu Yadav) represents Purnia and took the oath in Maithili.
Which member from West Bengal took the oath in Nepali?,"Shri Raju Bista, representing Darjeeling, took the oath in Nepali.",Shri Raju Bista represents Darjeeling and took the oath in Nepali.
Who is the member from Tenkasi and in which language did they take the oath?,Dr. Rani Srikumar from Tenkasi took the oath in Tamil.,Dr. Rani Srikumar represents Tenkasi and took the oath in Tamil.
Which member from Maharashtra took the oath in Marathi and represents Shirdi?,Shri Bhausaheb Rajaram Wakchaure from Shirdi took the oath in Marathi.,Shri Bhausaheb Rajaram Wakchaure represents Shirdi and took the oath in Marathi.
Who took the oath in Sanskrit from Balasore?,Shri Pratap Chandra Sarangi from Balasore took the oath in Sanskrit.,Shri Pratap Chandra Sarangi took the oath in Sanskrit and represents Balasore.
Who took the oath in Bengali and represents the constituency of Mathurapur?,Shri Bapi Haldar from Mathurapur took the oath in Bengali.,Shri Bapi Haldar represents Mathurapur and took the oath in Bengali.
Which member from Telangana took the oath in Urdu?,Shri Asaduddin Owaisi from Hyderabad took the oath in Urdu.,Shri Asaduddin Owaisi represents Hyderabad and took the oath in Urdu.
Who represents Amroha and in which language did they take the oath?,Shri Kanwar Singh Tanwar from Amroha took the oath in Hindi.,Shri Kanwar Singh Tanwar represents Amroha and took the oath in Hindi.
Which member from Nagaland took the oath in English?,Shri S. Supongmeren Jamir from Nagaland took the oath in English.,Shri S. Supongmeren Jamir represents Nagaland and took the oath in English.
Who took the oath in English and represents Bhubaneswar?,Shrimati Aparajita Sarangi from Bhubaneswar took the oath in English.,Shrimati Aparajita Sarangi represents Bhubaneswar and took the oath in English.
